Country ,Population,GDP,Climate,Industrial,Solar,Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22 ,Hour 23
Italy,58952700,2.38E+12,Temperate,22.3,17,0.72361322,0.672406552,0.654508448,0.642587148,0.648628566,0.693406132,0.84392466,1.005072206,1.149775466,1.214551094,1.219332536,1.17936872,1.127257455,1.118114561,1.141278713,1.143410978,1.127031306,1.109423965,1.11604691,1.153652312,1.206991245,1.14612477,1.028430201,0.935062837
Kosovo,1594350,11197250000,Temperate,25.8,0.2,1.011169937,0.840851592,0.732805525,0.683060963,0.669610151,0.715296025,0.764395886,0.899021226,1.059888838,1.123025602,1.079889229,1.028576871,0.980825022,0.972766257,0.946069764,0.971828509,1.013909918,1.044972796,1.102116769,1.257489768,1.297007023,1.282471941,1.27482344,1.248126948
Latvia,1866120,43684250000,Continential ,18.5,13,0.823268862,0.807913775,0.790196368,0.815000738,0.84452975,0.943747232,1.005167577,1.03705891,1.068950244,1.125645947,1.197696737,1.119740145,1.053595157,1.104385058,1.055957478,1.094935774,1.03587775,1.032334268,1.009892219,1.048870515,1.08548649,1.047689355,0.956739997,0.895319652
Lithuania,2888280,84869220000,Continential ,23.4,19,0.919316427,0.900665275,0.887878075,0.899265493,0.931785838,1.074465261,1.223341558,1.328340356,1.309046061,1.085133872,0.794062401,0.831652229,0.887878075,0.91321035,0.90491002,0.81974273,0.789908453,0.894180878,1.050449538,1.178934413,1.229258475,1.140338255,1.03296361,0.973272357
Luxembourg,677010,93279850000,Temperate,9.7,31,0.89066924,0.849098953,0.825589755,0.819073048,0.817443871,0.850955864,0.965804074,1.084681431,1.137112897,1.148429545,1.14215809,1.114602228,1.106596487,1.082474159,1.050591343,1.019777127,1.003940827,0.991713242,1.026994556,1.050713969,1.047648314,1.045756367,0.991082592,0.937092021
Montenegro,623520,8270020000,Temperate,12.2,6,0.994455857,0.827723189,0.749424548,0.708214737,0.69707695,0.750538326,0.883672005,1.150384872,1.161708289,1.075650323,0.957441279,0.899561914,0.846211915,0.832883697,0.844021484,0.878994134,1.017808084,1.094992946,1.122466154,1.255191446,1.380305918,1.364787268,1.329294854,1.177189813
Netherlands,17993490,1.21E+12,Temperate,17.5,21,1.303600698,1.272464576,1.196230877,1.221906888,1.189743825,1.203313062,1.240774153,1.305913172,1.336174538,1.11808682,0.759050772,0.546279642,0.407115467,0.324772086,0.286363238,0.335323599,0.466614969,0.705252651,0.980574413,1.224778612,1.409723341,1.42873908,1.389600238,1.347603283
Norway,5572280,4.84E+11,Diverse,37,0.23,0.965900171,0.943425046,0.932904426,0.92766264,0.930919094,0.947118772,0.993665668,1.072451587,1.094314532,1.068875682,1.040456707,1.014693547,0.996024503,0.985896819,0.988853257,0.990516709,1.007428775,1.01057166,1.010586843,1.018452864,1.025090274,1.035333956,1.01678516,0.982071305
Poland,36559230,9.18E+11,Continential ,27.2,11,0.773867775,0.742876387,0.72666142,0.721036293,0.745914939,0.806243709,0.942927219,1.074867953,1.119150775,1.15043268,1.110636676,1.094031292,1.081009315,1.127838213,1.056553486,1.07940067,1.092430207,1.099491181,1.101124125,1.126286268,1.161551175,1.116765078,1.015119677,0.933783485
Portugal,10694680,3.13E+11,Temperate,18.7,17,0.877830482,0.818849134,0.769638986,0.737041489,0.706729841,0.715454702,0.742659527,0.828813505,0.941802065,1.087758365,1.14611191,1.145902642,1.151247022,1.12148269,1.078309115,1.082108132,1.069053036,1.071676933,1.06048915,1.099187611,1.195611813,1.259985834,1.20300058,1.089255436
Romania,19051800,3.83E+11,Continential ,25.3,10,0.91467625,0.918912431,0.896714841,0.898070419,0.912303988,0.97499947,1.064298171,1.112929531,1.084292946,1.009227815,0.946532333,0.915354039,0.917556853,0.900273234,0.898409314,0.904509415,0.918065195,1.025494751,1.119537974,1.219850745,1.246962305,1.17088049,1.057181386,0.972966103
Serbia,6586480,90097770000,Temperate,23.1,0.13,0.994946757,0.91114533,0.863779306,0.828645167,0.828384914,0.878093214,1.035806459,1.076405908,1.055065172,1.008219653,0.971003492,0.943416687,0.91478887,0.946019215,0.944457698,0.961634388,1.012643952,0.993905745,1.083432735,1.161248346,1.203669566,1.174000737,1.115183587,1.094103104
Slovakia,5422070,1.41E+11,Continential ,28.9,2,0.879166202,0.850741277,0.846393936,0.844387471,0.876156504,0.926318136,1.066101884,1.114925872,1.10255267,1.082153606,1.023966113,1.014937019,0.996878832,0.985174451,0.972801248,0.983167986,1.021625237,1.053728681,1.077471854,1.126964664,1.132649649,1.070783636,1.002563817,0.948389254
